Date,Closing Price (USD)
2/25/18,9627.71625
2/26/18,10272.9025
2/27/18,10903.01875
2/28/18,10352.04625
3/1/18,11100.2925
3/2/18,11305.1225
3/3/18,11171.8175
3/4/18,11558.475
3/5/18,11246.7475
3/6/18,10735.88625
3/7/18,9552.75875
3/8/18,8980.19249
3/9/18,9251.2925
3/10/18,8680.6075
3/11/18,9433.47374
3/12/18,9047.5125
3/13/18,9260.70875
3/14/18,7895.98875
3/15/18,8039.6025
3/16/18,8206.555
3/17/18,7667.99
3/18/18,8189.49125
3/19/18,8597.3375
3/20/18,9028.2975
3/21/18,9023.7175
3/22/18,8411.6525
3/23/18,8881.98625
3/24/18,8548.8125
3/25/18,8429.33124
3/26/18,7854.6375
3/27/18,7863.255
3/28/18,7866.36
3/29/18,6861.325
3/30/18,6970.36375
3/31/18,6926.875
4/1/18,6986.835
4/2/18,7182.12
4/3/18,7295.89
4/4/18,6769.48375
4/5/18,6766.5925
4/6/18,6854.92125
4/7/18,6964.4325
4/8/18,7125.53875
4/9/18,6789.2675
4/10/18,6824.49375
4/11/18,6941.63875
4/12/18,7823.55875
4/13/18,8040.88125
4/14/18,8083.57375
4/15/18,8160.4125
4/16/18,8030.57
4/17/18,7937.61
4/18/18,8188.71875
4/19/18,8333.81374
4/20/18,8866.67
4/21/18,8830.05875
4/22/18,8868.16124
4/23/18,9191.82
4/24/18,9373.3025
4/25/18,8807.515
4/26/18,9153.64125
4/27/18,9144.38375
4/28/18,9444.1425
4/29/18,9268.7175
4/30/18,8949.87624
5/1/18,9029.47875
5/2/18,9228.8525
5/3/18,9572.69875
5/4/18,9817.5975
5/5/18,9845.54375
5/6/18,9326.76125
5/7/18,9424.99124
5/8/18,9039.02875
5/9/18,9327.04999
5/10/18,8920.25625
5/11/18,8408.35875
5/12/18,8442.23875
5/13/18,8398.86249
5/14/18,8711.38875
5/15/18,8159.25625
5/16/18,8360.22875
5/17/18,7996.82125
5/18/18,8237.3425
5/19/18,8250.395
5/20/18,8493.13125
5/21/18,8324.025
5/22/18,7951.51375
5/23/18,7614.96375
5/24/18,7599.9525
5/25/18,7436.835
5/26/18,7296.79625
5/27/18,7383.2175
5/28/18,7118.42375
5/29/18,7491.61125
5/30/18,7363.27625
5/31/18,7490.62125
6/1/18,7518.333329
6/2/18,7630.403388
6/3/18,7716.145068
6/4/18,7505.589277
6/5/18,7624.187971
6/6/18,7658.57
6/7/18,7684.93
6/8/18,7618.11
6/9/18,7495.1
6/10/18,6770.31
6/11/18,6780.340803
6/12/18,6525.329182
